Interaction_ID,Loan_ID,Agent_ID,Interaction_Date,Call_Status,Amount_Recovered
INT_00001,LN_197,AG_04,1/1/2025,Answered,0
INT_00002,LN_311,AG_03,1/1/2025,Switch Off,0
INT_00003,LN_290,AG_03,1/1/2025,Busy,0
INT_00004,LN_299,AG_02,1/1/2025,Answered,0
INT_00005,LN_74,AG_03,1/1/2025,Promise to Pay,16763.69
INT_00006,LN_280,AG_04,1/2/2025,Busy,0
INT_00007,LN_83,AG_06,1/2/2025,Promise to Pay,19412.85
INT_00008,LN_72,AG_08,1/2/2025,Answered,0
INT_00009,LN_235,AG_02,1/2/2025,Promise to Pay,6596.64
INT_00010,LN_140,AG_01,1/2/2025,Switch Off,0
INT_00011,LN_207,AG_03,1/3/2025,Busy,0
INT_00012,LN_60,AG_05,1/3/2025,Switch Off,0
INT_00013,LN_405,AG_03,1/3/2025,Busy,0
INT_00014,LN_110,AG_07,1/3/2025,Answered,0
INT_00015,LN_397,AG_06,1/3/2025,Answered,0
INT_00016,LN_385,AG_04,1/3/2025,Busy,0
INT_00017,LN_385,AG_01,1/4/2025,Promise to Pay,0
INT_00018,LN_131,AG_09,1/4/2025,Answered,0
INT_00019,LN_291,AG_07,1/4/2025,Answered,12599.41
INT_00020,LN_371,AG_03,1/5/2025,Switch Off,0
INT_00021,LN_271,AG_10,1/5/2025,Switch Off,0
INT_00022,LN_99,AG_02,1/5/2025,Busy,0
INT_00023,LN_175,AG_07,1/5/2025,Busy,0
INT_00024,LN_439,AG_04,1/5/2025,Switch Off,0
INT_00025,LN_231,AG_10,1/5/2025,Switch Off,0
INT_00026,LN_156,AG_04,1/6/2025,Promise to Pay,0
INT_00027,LN_11,AG_01,1/6/2025,Answered,14614.85
INT_00028,LN_488,AG_07,1/7/2025,Answered,0
INT_00029,LN_124,AG_03,1/7/2025,Answered,0
INT_00030,LN_231,AG_01,1/7/2025,Switch Off,0
INT_00031,LN_334,AG_01,1/7/2025,Answered,0
INT_00032,LN_12,AG_04,1/8/2025,Answered,0
INT_00033,LN_499,AG_07,1/8/2025,Answered,0
INT_00034,LN_225,AG_10,1/8/2025,Promise to Pay,0
INT_00035,LN_120,AG_02,1/8/2025,Answered,0
INT_00036,LN_257,AG_09,1/9/2025,Switch Off,0
INT_00037,LN_83,AG_06,1/9/2025,Promise to Pay,0
INT_00038,LN_446,AG_08,1/9/2025,Busy,0
INT_00039,LN_276,AG_10,1/9/2025,Busy,0
INT_00040,LN_396,AG_08,1/9/2025,Answered,0
INT_00041,LN_53,AG_09,1/9/2025,Switch Off,0
INT_00042,LN_217,AG_03,1/9/2025,Answered,0
INT_00043,LN_254,AG_04,1/9/2025,Answered,16834.55
INT_00044,LN_23,AG_02,1/10/2025,Answered,0
INT_00045,LN_452,AG_04,1/10/2025,Promise to Pay,0
INT_00046,LN_173,AG_06,1/10/2025,Answered,0
INT_00047,LN_172,AG_01,1/10/2025,Busy,0
INT_00048,LN_183,AG_01,1/10/2025,Answered,0
INT_00049,LN_224,AG_05,1/10/2025,Answered,16749.42
INT_00050,LN_278,AG_02,1/11/2025,Answered,0
INT_00051,LN_290,AG_04,1/11/2025,Busy,0
INT_00052,LN_40,AG_01,1/12/2025,Promise to Pay,0
INT_00053,LN_474,AG_07,1/12/2025,Promise to Pay,19693.86
INT_00054,LN_455,AG_10,1/12/2025,Answered,0
INT_00055,LN_330,AG_02,1/12/2025,Answered,0
INT_00056,LN_151,AG_10,1/13/2025,Switch Off,0
INT_00057,LN_334,AG_02,1/13/2025,Busy,0
INT_00058,LN_321,AG_03,1/13/2025,Promise to Pay,0
